,Player Name,Player URL,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
70,TL Chatara (ZIM),https://www.espncricinfo.com/ci/content/player/425639.html,2010-2024,60,60,213.3,4,1557,65,3/7,23.95,7.29,19.7,0,0,"February 28, 1991, Chimanimani",33y 152d,Right hand Bat,Right arm Fast medium,Bowler
71,JR Hazlewood (AUS),https://www.espncricinfo.com/ci/content/player/288284.html,2013-2024,51,51,193.4,7,1449,65,4/12,22.29,7.48,17.8,4,0,"January 08, 1991, Tamworth, New South Wales",33y 203d,Left hand Bat,Right arm Fast medium,Bowler
72,YM Nkanya (TAN),https://www.espncricinfo.com/ci/content/player/1178055.html,2022-2024,51,49,163,6,868,65,5/2,13.35,5.32,15,3,1,22-Jun-03,21y 37d,Right hand Bat,Slow Left arm Orthodox,
73,Waseem Abbas (MLT),https://www.espncricinfo.com/ci/content/player/1204010.html,2019-2024,50,50,181,2,1381,65,5/37,21.24,7.62,16.7,1,1,1-Apr-90,34y 119d,Right hand Bat,Right arm Fast,
74,Z Bimenyimana (RWN),https://www.espncricinfo.com/ci/content/player/1151261.html,2021-2024,70,68,197.2,6,1448,64,3/7,22.62,7.33,18.5,0,0,"July 28, 1998, Rwanda",26y 1d,Right hand Bat,Right arm Medium,
75,DW Steyn (SA),https://www.espncricinfo.com/ci/content/player/47492.html,2007-2020,47,47,169.1,3,1175,64,4/9,18.35,6.94,15.8,2,0,"June 27, 1983, Phalaborwa",41y 32d,Right hand Bat,Right arm Fast,Bowler
76,JN Frylinck (NAM),https://www.espncricinfo.com/ci/content/player/482478.html,2019-2024,61,50,160.3,1,1131,63,6/24,17.95,7.04,15.2,1,1,"April 06, 1994, Bellville, Western Cape",30y 114d,Left hand Bat,Left arm Fast medium,Allrounder
77,Imran Tahir (SA/World),https://www.espncricinfo.com/ci/content/player/40618.html,2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2,"March 27, 1979, Lahore, Punjab",45y 124d,Right hand Bat,Legbreak Googly,Bowler
78,R Ngarava (ZIM),https://www.espncricinfo.com/ci/content/player/806241.html,2019-2024,55,55,198.4,8,1437,63,3/11,22.8,7.23,18.9,0,0,"December 29, 1997, Harare",26y 213d,Left hand Bat,Left arm Fast medium,Bowler
79,AM Kimote (TAN),https://www.espncricinfo.com/ci/content/player/470752.html,2021-2024,62,58,158.3,2,1109,62,4/13,17.88,6.99,15.3,2,0,"May 26, 1992, Tanzania",32y 64d,Right hand Bat,Right arm Medium,
80,L Ngidi (SA),https://www.espncricinfo.com/ci/content/player/542023.html,2017-2024,42,42,138.5,0,1296,62,5/39,20.9,9.33,13.4,2,1,"March 29, 1996, Durban, Natal",28y 122d,Right hand Bat,Right arm Fast medium,Bowler
