Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Born,Age,Batting Style,Bowling Style,Playing Role,Height
S Sengupta (CZK-R),https://www.espncricinfo.com/ci/content/player/1263719.html,2021-2022,9,4,1,27,9,9,25,108,0,0,0,3,0,1-Apr-89,35y 119d,Right hand Bat,Right arm Medium,Middle order Batter,
Shapoor Zadran (AFG),https://www.espncricinfo.com/ci/content/player/319746.html,2010-2020,36,13,6,27,13,3.85,65,41.53,0,0,3,0,3,"July 08, 1987, Logar Province, Afghanistan",37y 21d,Left hand Bat,Left arm Fast medium,Bowler,
Sharveen Surendran (MAS),https://www.espncricinfo.com/ci/content/player/1150839.html,2023-2023,2,2,1,27,23,27,31,87.09,0,0,0,1,0,"August 07, 2004, Selangor",19y 357d,Right hand Bat,Right arm Offbreak,,
Shoaib Qureshi (FIN),https://www.espncricinfo.com/ci/content/player/1156465.html,2019-2019,5,4,0,27,12,6.75,34,79.41,0,0,1,2,0,23-Apr-92,32y 97d,Right hand Bat,Right arm Medium,Bowler,
C Smith (IOM/MAS),https://www.espncricinfo.com/ci/content/player/932573.html,2021-2023,6,4,0,27,13,6.75,27,100,0,0,0,2,1,15-Dec-91,32y 227d,Right hand Bat,Right arm Medium,Bowler,
Swann Htet Ko Ko (MYAN),https://www.espncricinfo.com/ci/content/player/1387420.html,2023-2024,6,6,1,27,11,5.4,70,38.57,0,0,1,0,0,4-Nov-97,26y 268d,Right hand Bat,,,
S Tuitoga (Fiji),https://www.espncricinfo.com/ci/content/player/647729.html,2023-2023,2,2,0,27,27,13.5,33,81.81,0,0,1,3,1,27-Apr-97,27y 93d,Right hand Bat,Right arm Medium fast,,
C Udekwe (NGA),https://www.espncricinfo.com/ci/content/player/1280663.html,2022-2024,23,7,3,27,11*,6.75,30,90,0,0,0,0,2,2-Jan-05,19y 209d,Right hand Bat,Right arm Medium fast,,
MP Vaughan (ENG),https://www.espncricinfo.com/ci/content/player/22182.html,2005-2007,2,2,0,27,27,13.5,22,122.72,0,0,1,4,0,"October 29, 1974, Salford, Manchester",49y 274d,Right hand Bat,Right arm Offbreak,Opening Batter,6ft 2in
Zulfiqar Babar (PAK),https://www.espncricinfo.com/ci/content/player/43871.html,2013-2014,7,3,3,27,13*,-,27,100,0,0,0,2,1,"December 10, 1978, Okara, Punjab",45y 232d,Right hand Bat,Slow Left arm Orthodox,Bowler,
C Bayraktar (TKY),https://www.espncricinfo.com/ci/content/player/1323436.html,2022-2022,3,3,0,26,12,8.66,34,76.47,0,0,0,0,2,1-Jan-80,44y 210d,Right hand Bat,,,
TB de Bruyn (SA),https://www.espncricinfo.com/ci/content/player/486672.html,2017-2017,2,2,0,26,19,13,16,162.5,0,0,0,3,1,"October 08, 1992, Pretoria",31y 295d,Right hand Bat,Right arm Medium fast,Middle order Batter,
Fayaz Mohammad (BUL),https://www.espncricinfo.com/ci/content/player/1233058.html,2020-2022,5,4,1,26,12,8.66,19,136.84,0,0,0,4,0,29-Dec-75,48y 213d,Right hand Bat,Right arm Medium fast,,
P Florin (ROM),https://www.espncricinfo.com/ci/content/player/1198943.html,2019-2021,16,8,5,26,14,8.66,31,83.87,0,0,1,2,0,12-Feb-79,45y 168d,Right hand Bat,Right arm Offbreak,,
R Francis (STHEL),https://www.espncricinfo.com/ci/content/player/1163183.html,2022-2022,7,4,1,26,15,8.66,22,118.18,0,0,0,1,2,2-Jun-00,24y 57d,,,,
D Ganga (WI),https://www.espncricinfo.com/ci/content/player/51872.html,2006-2006,1,1,0,26,26,26,31,83.87,0,0,0,3,1,"January 14, 1979, Barrackpore, Trinidad",45y 197d,Right hand Bat,Right arm Offbreak,Batter,
Izatullah Dawlatzai (AFG/GER),https://www.espncricinfo.com/ci/content/player/402247.html,2012-2020,16,4,3,26,24*,26,16,162.5,0,0,0,2,2,"May 10, 1991, Nangarhar",33y 80d,Right hand Bat,Right arm Fast medium,Bowler,
R Kalimuthu (SGP),https://www.espncricinfo.com/ci/content/player/1369438.html,2023-2024,8,5,4,26,16*,26,22,118.18,0,0,0,2,1,16-May-87,37y 74d,Right hand Bat,Right arm Medium fast,,
H Lin Oo (MYAN),https://www.espncricinfo.com/ci/content/player/1116749.html,2023-2024,6,6,4,26,11*,13,51,50.98,0,0,1,0,0,"May 25, 1995, Myanmar",29y 65d,Right hand Bat,Right arm Medium fast,,
MV Matsau (LES),https://www.espncricinfo.com/ci/content/player/1283108.html,2021-2022,12,9,4,26,22,5.2,35,74.28,0,0,4,2,0,15-Jun-99,25y 44d,Right hand Bat,Right arm Medium fast,Bowler,
Mohamed Shafeeq (KUW),https://www.espncricinfo.com/ci/content/player/1328736.html,2022-2024,23,9,2,26,6,3.71,26,100,0,0,1,3,0,21-Apr-94,30y 99d,Right hand Bat,Right arm Medium,Bowler,
TJ Murtagh (IRE),https://www.espncricinfo.com/ci/content/player/17134.html,2012-2016,14,5,3,26,12*,13,25,104,0,0,0,0,1,"August 02, 1981, Lambeth, London",42y 362d,Left hand Bat,Right arm Fast medium,Bowler,6ft 2in
LJ Myott (PHI),https://www.espncricinfo.com/ci/content/player/1387873.html,2023-2023,12,5,3,26,13*,13,29,89.65,0,0,0,1,1,29-Apr-00,24y 91d,Right hand Bat,Right arm Offbreak,,
M Raikes (GIBR),https://www.espncricinfo.com/ci/content/player/257785.html,2024-2024,2,2,0,26,25,13,23,113.04,0,0,0,1,0,"February 18, 1988, Gibraltar",36y 162d,Right hand Bat,Legbreak,,
Sachin Kumar (BHR),https://www.espncricinfo.com/ci/content/player/1328733.html,2022-2024,13,4,1,26,19*,8.66,32,81.25,0,0,1,3,0,3-Apr-89,35y 117d,Right hand Bat,Right arm Offbreak,,
TK Saha (FIN),https://www.espncricinfo.com/ci/content/player/1156463.html,2019-2019,4,4,3,26,18*,26,23,113.04,0,0,0,1,0,25-Aug-85,38y 339d,Right hand Bat,Right arm Medium,,
Shahadat Hossain (3) (BAN),https://www.espncricinfo.com/ci/content/player/989935.html,2023-2023,3,2,0,26,21,13,33,78.78,0,0,0,3,0,4-Feb-02,22y 176d,Right hand Bat,Right arm Offbreak,Batter,
TG Thamae (LES),https://www.espncricinfo.com/ci/content/player/1163138.html,2021-2024,16,9,1,26,10,3.25,37,70.27,0,0,4,1,1,25-Jul-98,26y 4d,Right hand Bat,,,
T Vanuarua (COK),https://www.espncricinfo.com/ci/content/player/1333972.html,2022-2022,6,4,1,26,14*,8.66,21,123.8,0,0,1,1,3,30-Jun-85,39y 29d,Right hand Bat,Right arm Offbreak,,
P Agnihotri (NOR),https://www.espncricinfo.com/ci/content/player/525146.html,2019-2019,2,2,0,25,19,12.5,36,69.44,0,0,0,2,0,"June 10, 1994, Oslo",30y 49d,Right hand Bat,,,
Alam Nakash (SKOR),https://www.espncricinfo.com/ci/content/player/1338626.html,2022-2022,4,4,0,25,24,6.25,28,89.28,0,0,2,1,1,21-Dec-89,34y 221d,Right hand Bat,Left arm Medium,,
A Amado (ISR),https://www.espncricinfo.com/ci/content/player/1321182.html,2022-2022,3,3,0,25,16,8.33,37,67.56,0,0,0,3,0,2-Jun-94,30y 57d,Right hand Bat,Right arm Medium,,
RA Bhatti (CAN),https://www.espncricinfo.com/ci/content/player/307077.html,2012-2012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0,"February 18, 1990, Lahore",34y 162d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
G Coetzee (SA),https://www.espncricinfo.com/ci/content/player/596010.html,2023-2024,6,5,0,25,13,5,29,86.2,0,0,2,1,1,2-Oct-00,23y 301d,Right hand Bat,Right arm Fast,Bowler,
H Dandapani (FIN),https://www.espncricinfo.com/ci/content/player/1156460.html,2019-2024,8,4,2,25,17,12.5,34,73.52,0,0,0,2,0,25-Jul-87,37y 4d,Right hand Bat,Right arm Offbreak,,
IK Darmawan (INA),https://www.espncricinfo.com/ci/content/player/1082750.html,2022-2023,3,3,0,25,16,8.33,34,73.52,0,0,1,3,0,11-Jun-96,28y 48d,Right hand Bat,,,
AM Ellis (NZ),https://www.espncricinfo.com/ci/content/player/36993.html,2012-2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1,"March 24, 1982, Christchurch, Canterbury",42y 127d,Right hand Bat,Right arm Fast medium,Allrounder,
CRD Fernando (SL),https://www.espncricinfo.com/ci/content/player/48835.html,2006-2016,18,7,2,25,21,5,27,92.59,0,0,2,4,0,"July 19, 1979, Colombo",45y 10d,Right hand Bat,Right arm Fast medium,Bowler,
G Goudie (SCOT),https://www.espncricinfo.com/ci/content/player/25476.html,2010-2013,9,6,2,25,9*,6.25,20,125,0,0,0,2,1,12-Aug-87,36y 352d,Right hand Bat,Right arm Fast medium,Bowler,
Hassan Mehmood (SWE),https://www.espncricinfo.com/ci/content/player/1273275.html,2021-2021,5,5,3,25,9,12.5,31,80.64,0,0,0,0,1,13-Dec-93,30y 229d,Right hand Bat,Right arm Medium fast,Bowler,
Jai Sinh (SUI),https://www.espncricinfo.com/ci/content/player/1325909.html,2022-2024,8,7,1,25,9,4.16,48,52.08,0,0,1,1,0,7-Aug-98,25y 357d,Right hand Bat,Right arm Medium fast,,
D Jamyansuren (MNG),https://www.espncricinfo.com/ci/content/player/1400102.html,2023-2023,2,2,0,25,15,12.5,62,40.32,0,0,0,3,0,,,Right hand Bat,Right arm Medium fast,,
RK Kleinveldt (SA),https://www.espncricinfo.com/ci/content/player/45949.html,2008-2013,6,3,2,25,22,25,10,250,0,0,0,1,3,"March 15, 1983, Cape Town, Cape Province",41y 136d,Right hand Bat,Right arm Fast medium,Bowler,
P Kotoisuva (Fiji),https://www.espncricinfo.com/ci/content/player/1362921.html,2023-2023,4,3,0,25,23,8.33,20,125,0,0,1,1,2,27-Feb-91,33y 153d,Right hand Bat,Right arm Medium fast,,
KK Lin Thu (MYAN),https://www.espncricinfo.com/ci/content/player/1116752.html,2023-2024,7,7,0,25,10,3.57,67,37.31,0,0,2,2,0,"August 12, 1998, Myanmar",25y 352d,Right hand Bat,Right arm Medium fast,,
P Nedeljkovic (SRB),https://www.espncricinfo.com/ci/content/player/1401109.html,2023-2024,6,4,2,25,14*,12.5,35,71.42,0,0,0,2,1,16-Dec-07,16y 226d,Right hand Bat,,,
PM Nevill (AUS),https://www.espncricinfo.com/ci/content/player/6973.html,2016-2016,9,5,4,25,10*,25,11,227.27,0,0,0,1,2,"October 13, 1985, Hawthorn, Melbourne, Victoria",38y 290d,Right hand Bat,,Wicketkeeper,1.82 m
I Ntirenganya (RWN),https://www.espncricinfo.com/ci/content/player/1273412.html,2022-2024,23,15,9,25,11*,4.16,44,56.81,0,0,3,2,0,1-Jul-02,22y 28d,Right hand Bat,Left arm Medium,,
SO Olayinka (NGA),https://www.espncricinfo.com/ci/content/player/380577.html,2021-2021,3,3,0,25,24,8.33,34,73.52,0,0,1,1,2,"August 12, 1988, Abeokuta",35y 352d,Right hand Bat,,,
E Otgonbayar (MNG),https://www.espncricinfo.com/ci/content/player/1400098.html,2023-2024,9,8,0,25,7,3.12,76,32.89,0,0,0,0,0,18-Dec-05,18y 224d,Right hand Bat,,,
Parvez Hossain Emon (BAN),https://www.espncricinfo.com/ci/content/player/1139511.html,2022-2023,3,3,0,25,23,8.33,46,54.34,0,0,1,0,2,12-Jun-02,22y 47d,Left hand Bat,,Wicketkeeper Batter,
HJ Patel (PAN),https://www.espncricinfo.com/ci/content/player/1360658.html,2023-2023,2,2,0,25,21,12.5,25,100,0,0,0,2,0,21-Mar-97,27y 130d,Right hand Bat,,,
AR Prasad (CAM),https://www.espncricinfo.com/ci/content/player/1354638.html,2023-2024,22,9,5,25,8*,6.25,56,44.64,0,0,2,1,0,12-Oct-02,21y 291d,Right hand Bat,Right arm Medium,,
S Ravoka (Fiji),https://www.espncricinfo.com/ci/content/player/296180.html,2022-2022,6,6,2,25,13,6.25,41,60.97,0,0,0,0,0,27-Jun-86,38y 32d,Right hand Bat,,,
Raza-ur-Rehman (CAN),https://www.espncricinfo.com/ci/content/player/259413.html,2012-2013,5,4,0,25,10,6.25,29,86.2,0,0,0,3,0,"November 05, 1985, Bulawayo",38y 267d,Right hand Bat,Left arm Medium fast,Middle order Batter,
Rizwan Haider (MAS),https://www.espncricinfo.com/ci/content/player/1348021.html,2022-2024,24,6,5,25,17*,25,21,119.04,0,0,1,0,2,12-Mar-87,37y 139d,Right hand Bat,Left arm Medium,Bowler,
Sajid Liaqat (GER),https://www.espncricinfo.com/ci/content/player/1046595.html,2019-2024,9,4,1,25,15,8.33,23,108.69,0,0,0,0,2,24-Aug-85,38y 340d,Right hand Bat,Right arm Medium,Bowler,
Shahriar Nafees (BAN),https://www.espncricinfo.com/ci/content/player/56153.html,2006-2006,1,1,0,25,25,25,17,147.05,0,0,0,3,1,"May 01, 1985, Dhaka, Bangladesh",39y 89d,Left hand Bat,,Top order Batter,
LSP Siriwardene (ISR),https://www.espncricinfo.com/ci/content/player/425253.html,2024-2024,4,4,0,25,12,6.25,44,56.81,0,0,1,0,0,"July 22, 1989, Mahamodara",35y 7d,Right hand Bat,Right arm Medium fast,Allrounder,5ft 7in
A Srivastav (Chile),https://www.espncricinfo.com/ci/content/player/1203232.html,2019-2019,4,4,0,25,21,6.25,37,67.56,0,0,2,2,0,6-Jun-87,37y 53d,Right hand Bat,Right arm Fast,,
Tahir Dar (BHR),https://www.espncricinfo.com/ci/content/player/362524.html,2019-2019,4,2,0,25,15,12.5,25,100,0,0,0,1,2,17-Mar-75,49y 134d,Left hand Bat,Slow Left arm Orthodox,,
Zeshan Arif (Aut),https://www.espncricinfo.com/ci/content/player/1156632.html,2019-2024,8,1,1,25,25*,-,21,119.04,0,0,0,1,1,3-Nov-97,26y 269d,Right hand Bat,Legbreak,,
Adil Hanif (BHR),https://www.espncricinfo.com/ci/content/player/39100.html,2019-2019,4,2,0,24,16,12,23,104.34,0,0,0,3,0,"February 25, 1978, Lahore, Punjab",46y 155d,Right hand Bat,Right arm Offbreak,,
Azin Rafeeg (MDV),https://www.espncricinfo.com/ci/content/player/1400108.html,2023-2023,2,2,1,24,24*,24,17,141.17,0,0,1,3,1,31-Mar-00,24y 120d,Right hand Bat,Right arm Medium fast,,
OO Bascome (BER),https://www.espncricinfo.com/ci/content/player/279531.html,2008-2019,3,3,0,24,16,8,29,82.75,0,0,0,3,0,"March 08, 1988, Bermuda",36y 143d,Right hand Bat,Right arm Medium,Batter,
S Bogdos (GRC),https://www.espncricinfo.com/ci/content/player/469224.html,2022-2022,4,4,0,24,19,6,59,40.67,0,0,0,1,0,30-Sep-95,28y 303d,,,,
LA Collado (GIBR),https://www.espncricinfo.com/ci/content/player/572235.html,2019-2021,9,5,3,24,8,12,41,58.53,0,0,1,1,0,13-Mar-93,31y 138d,,,,
MGSM Fernando (ITA),https://www.espncricinfo.com/ci/content/player/656851.html,2021-2021,6,3,0,24,14,8,19,126.31,0,0,0,2,1,"July 13, 1991, Marawila, Sri Lanka",33y 16d,Left hand Bat,Slow Left arm Orthodox,,
C Floyd (NED),https://www.espncricinfo.com/ci/content/player/1200616.html,2019-2022,4,3,2,24,21,24,24,100,0,0,0,2,1,7-Aug-96,27y 357d,Right hand Bat,Slow Left arm Orthodox,Bowler,
JN Gillespie (AUS),https://www.espncricinfo.com/ci/content/player/5392.html,2005-2005,1,1,0,24,24,24,18,133.33,0,0,0,4,0,"April 19, 1975, Darlinghurst, Sydney, New South Wales",49y 101d,Right hand Bat,Right arm Fast,Bowler,1.95 m
MJ Henry (NZ),https://www.espncricinfo.com/ci/content/player/506612.html,2014-2024,18,7,3,24,12,6,27,88.88,0,0,1,2,1,"December 14, 1991, Christchurch, Canterbury",32y 228d,Right hand Bat,Right arm Fast medium,Bowler,
Ibrahim Jabarkhel (Fran),https://www.espncricinfo.com/ci/content/player/1271982.html,2021-2023,12,6,4,24,12*,12,28,85.71,0,0,1,0,1,25-Apr-03,21y 95d,Right hand Bat,Right arm Offbreak,,
Jagjit Singh (Peru),https://www.espncricinfo.com/ci/content/player/1203177.html,2019-2019,4,4,0,24,12,6,30,80,0,0,0,1,0,29-Dec-84,39y 213d,Right hand Bat,Right arm Medium fast,,
YYM Jakda (LES),https://www.espncricinfo.com/ci/content/player/1283109.html,2021-2022,13,11,0,24,10,2.18,25,96,0,0,6,1,2,7-Nov-98,25y 265d,Right hand Bat,Right arm Medium fast,Batting Allrounder,
MJ McClenaghan (ICC/NZ),https://www.espncricinfo.com/ci/content/player/319439.html,2012-2018,29,8,4,24,10,6,23,104.34,0,0,2,1,2,"June 11, 1986, Hastings, Hawke's Bay",38y 48d,Left hand Bat,Left arm Fast medium,Bowler,
Z Makadji (Mali),https://www.espncricinfo.com/ci/content/player/1345191.html,2022-2023,5,5,0,24,22,4.8,26,92.3,0,0,3,1,1,25-Oct-02,21y 278d,Right hand Bat,Right arm Medium fast,,
WJ Malinda (MDV),https://www.espncricinfo.com/ci/content/player/1190215.html,2019-2023,11,7,2,24,10*,4.8,32,75,0,0,1,0,1,"August 16, 1991, Colombo",32y 348d,Left hand Bat,Right arm Medium,,
Mohammad Hasnain (PAK),https://www.espncricinfo.com/ci/content/player/1158100.html,2019-2022,27,11,10,24,8*,24,26,92.3,0,0,0,2,1,"April 05, 2000, Hyderabad",24y 115d,Right hand Bat,Right arm Fast,Bowler,
Mohammed Faraazuddin (UAE),https://www.espncricinfo.com/ci/content/player/1161043.html,2023-2023,6,4,1,24,21*,8,27,88.88,0,0,2,1,0,"July 30, 2001, Dubai",22y 365d,Right hand Bat,Right arm Offbreak,Allrounder,
M Prasanna (ROM),https://www.espncricinfo.com/ci/content/player/1392855.html,2023-2023,4,3,1,24,18*,12,13,184.61,0,0,0,4,0,2-Jul-83,41y 27d,Left hand Bat,Slow Left arm Orthodox,,
Qudratullah Mir Afzail (SWE),https://www.espncricinfo.com/ci/content/player/1273280.html,2021-2021,6,5,2,24,13*,8,21,114.28,0,0,0,3,0,8-Mar-95,29y 143d,Right hand Bat,Right arm Medium fast,,
Rameez Raja (2) (PAK),https://www.espncricinfo.com/ci/content/player/232489.html,2011-2011,2,2,0,24,23,12,29,82.75,0,0,0,2,0,"July 31, 1987, Karachi, Sind",36y 364d,Right hand Bat,Right arm Offbreak,Top order Batter,
B Regmi (NEP),https://www.espncricinfo.com/ci/content/player/25955.html,2014-2019,18,11,4,24,11,3.42,56,42.85,0,0,1,2,0,"April 06, 1986, Bhairahawa",38y 114d,Left hand Bat,Slow Left arm Orthodox,Bowler,
CP Schofield (ENG),https://www.espncricinfo.com/ci/content/player/20073.html,2007-2007,4,4,3,24,9*,24,20,120,0,0,0,2,0,"October 06, 1978, Wardle, Rochdale, Lancashire",45y 297d,Left hand Bat,Legbreak,Bowling Allrounder,6ft 1in
Shoaib Khan (GER),https://www.espncricinfo.com/ci/content/player/1301601.html,2022-2022,6,5,1,24,7,6,32,75,0,0,1,2,0,5-Oct-92,31y 298d,Right hand Bat,Right arm Medium,,
UNGB Thenannahelage (CZK-R),https://www.espncricinfo.com/ci/content/player/1323622.html,2022-2022,9,5,1,24,10,6,30,80,0,0,1,0,0,3-Jan-93,31y 208d,Right hand Bat,,,
SM Warnakulasuriya (Fran),https://www.espncricinfo.com/ci/content/player/1386550.html,2023-2023,8,4,1,24,10,8,25,96,0,0,1,1,0,24-Dec-01,22y 218d,Right hand Bat,Right arm Medium,,
KJ Abbott (SA),https://www.espncricinfo.com/ci/content/player/297583.html,2013-2016,21,6,4,23,9*,11.5,20,115,0,0,0,2,0,"June 18, 1987, Empangeni, KwaZulu-Natal",37y 41d,Right hand Bat,Right arm Fast medium,Bowler,
Ali Waqar (CZK-R),https://www.espncricinfo.com/ci/content/player/1263716.html,2021-2021,6,3,0,23,15,7.66,30,76.66,0,0,0,2,0,15-Oct-94,29y 288d,Right hand Bat,Right arm Medium,Bowler,
Ali Raza (EST),https://www.espncricinfo.com/ci/content/player/792229.html,2021-2022,5,4,2,23,17*,11.5,20,115,0,0,1,2,1,5-Apr-95,29y 115d,Right hand Bat,,,
G Angeletti (Arg),https://www.espncricinfo.com/ci/content/player/1193271.html,2023-2023,2,2,1,23,18*,23,27,85.18,0,0,0,3,0,"September 30, 2003, Buenos Aires",20y 303d,Right hand Bat,Right arm Medium,,
AB Barath (WI),https://www.espncricinfo.com/ci/content/player/274926.html,2010-2011,2,2,0,23,15,11.5,39,58.97,0,0,0,3,0,"April 14, 1990, Chaguanas, Trinidad",34y 106d,Right hand Bat,Right arm Offbreak,Opening Batter,
Bilawal Bhatti (PAK),https://www.espncricinfo.com/ci/content/player/343305.html,2013-2015,9,4,2,23,13*,11.5,14,164.28,0,0,1,2,1,"September 17, 1991, Muridke, Punjab",32y 316d,Right hand Bat,Right arm Medium fast,Bowler,5ft 6in
A Bohara (NEP),https://www.espncricinfo.com/ci/content/player/1058508.html,2019-2024,62,17,10,23,12,3.28,33,69.69,0,0,5,1,1,"July 30, 1997, Salyan",26y 365d,Right hand Bat,Right arm Medium,Bowler,
SDJJ Dima (MOZ),https://www.espncricinfo.com/ci/content/player/1163159.html,2019-2022,15,8,1,23,9,3.28,56,41.07,0,0,2,0,0,1-Jan-00,24y 210d,Right hand Bat,Right arm Offbreak,,
S Gasteratos (GRC),https://www.espncricinfo.com/ci/content/player/469226.html,2021-2021,4,3,1,23,17*,11.5,33,69.69,0,0,0,3,0,13-Dec-94,29y 229d,,,,
Hardev Singh (Chile),https://www.espncricinfo.com/ci/content/player/1203233.html,2019-2019,3,3,0,23,17,7.66,48,47.91,0,0,0,1,0,8-Jul-90,34y 21d,Right hand Bat,Right arm Medium,,
Ikramullah Khan (QAT),https://www.espncricinfo.com/ci/content/player/390891.html,2022-2024,10,4,0,23,14,5.75,26,88.46,0,0,1,2,0,"July 12, 1992, Mianwali, Punjab",32y 17d,Left hand Bat,Left arm Medium fast,,
RK Inampud (Mex),https://www.espncricinfo.com/ci/content/player/1182007.html,2019-2019,3,3,2,23,17*,23,28,82.14,0,0,0,0,1,14-Jan-85,39y 197d,Right hand Bat,Right arm Medium,,
Junaid Khan (PORT),https://www.espncricinfo.com/ci/content/player/1274040.html,2021-2024,20,6,3,23,14*,7.66,12,191.66,0,0,3,3,1,7-Jun-85,39y 52d,Right hand Bat,Right arm Medium fast,,
N Master (BOT),https://www.espncricinfo.com/ci/content/player/585437.html,2019-2019,2,2,0,23,21,11.5,18,127.77,0,0,0,4,0,3-Nov-91,32y 269d,Right hand Bat,Right arm Medium,,
T Panyangara (ZIM),https://www.espncricinfo.com/ci/content/player/55705.html,2013-2016,14,5,4,23,17*,23,17,135.29,0,0,0,1,2,"October 21, 1985, Marondera",38y 282d,Right hand Bat,Right arm Fast medium,Bowler,
IKA Pastika (INA),https://www.espncricinfo.com/ci/content/player/1082753.html,2023-2023,3,2,2,23,14*,-,17,135.29,0,0,0,1,0,1-Jul-93,31y 28d,Right hand Bat,,,
TAW Patterson (Blz),https://www.espncricinfo.com/ci/content/player/1287089.html,2021-2021,3,3,0,23,16,7.66,47,48.93,0,0,1,2,0,14-Apr-90,34y 106d,Left hand Bat,Right arm Offbreak,,
Rohail Nazir (PAK),https://www.espncricinfo.com/ci/content/player/1092313.html,2023-2023,3,2,0,23,13,11.5,23,100,0,0,0,0,3,"October 10, 2001, Islamabad",22y 293d,Right hand Bat,,Wicketkeeper Batter,
VM Sachdev (PAN),https://www.espncricinfo.com/ci/content/player/1182038.html,2019-2019,2,2,1,23,12*,23,31,74.19,0,0,0,2,0,12-Jan-87,37y 199d,Right hand Bat,Right arm Medium,,
PADLR Sandakan (SL),https://www.espncricinfo.com/ci/content/player/429738.html,2017-2021,20,7,4,23,10,7.66,38,60.52,0,0,0,2,0,"June 10, 1991, Ragama",33y 49d,Right hand Bat,Left arm Wrist spin,Bowler,5ft 6in
Shafiul Islam (BAN),https://www.espncricinfo.com/ci/content/player/288305.html,2010-2020,20,6,1,23,16,4.6,33,69.69,0,0,1,1,1,"October 06, 1989, Bogra",34y 297d,Right hand Bat,Right arm Fast medium,Bowler,
A Shukla (HKG),https://www.espncricinfo.com/ci/content/player/1167779.html,2022-2024,30,13,6,23,6*,3.28,41,56.09,0,0,4,1,0,28-Oct-02,21y 275d,Right hand Bat,Right arm Medium,Bowler,
S Sohal (USA),https://www.espncricinfo.com/ci/content/player/228943.html,2019-2019,3,2,0,23,18,11.5,29,79.31,0,0,0,1,1,"November 10, 1987, Mohali, Punjab, India",36y 262d,Right hand Bat,Legbreak,Batter,
H Ssenyondo (UGA),https://www.espncricinfo.com/ci/content/player/420490.html,2019-2024,78,17,9,23,5*,2.87,49,46.93,0,0,5,0,0,"August 12, 1993, Nsambya",30y 352d,Right hand Bat,Slow Left arm Orthodox,Bowler,
S Yeshey (BHU),https://www.espncricinfo.com/ci/content/player/1167766.html,2022-2024,14,9,3,23,11*,3.83,43,53.48,0,0,4,2,0,3-Dec-03,20y 239d,Right hand Bat,Slow Left arm Orthodox,,
Zulqarnain Haider (PAK),https://www.espncricinfo.com/ci/content/player/43860.html,2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0,"April 23, 1986, Lahore",38y 97d,Right hand Bat,,Wicketkeeper Batter,
Abdur Rehman (PAK),https://www.espncricinfo.com/ci/content/player/39091.html,2007-2013,8,5,3,22,7*,11,29,75.86,0,0,0,0,0,"March 01, 1980, Sialkot, Punjab",44y 150d,Left hand Bat,Slow Left arm Orthodox,Bowler,
DNA Ankrah (GHA),https://www.espncricinfo.com/ci/content/player/1089762.html,2019-2019,4,3,0,22,12,7.33,43,51.16,0,0,0,2,0,5-Dec-98,25y 237d,Right hand Bat,Right arm Medium,,
Anwar Rahman (MAS),https://www.espncricinfo.com/ci/content/player/568447.html,2019-2023,22,10,4,22,12,3.66,34,64.7,0,0,2,2,0,23-Sep-96,27y 310d,Right hand Bat,Slow Left arm Orthodox,,
SSD Arachchige (SL),https://www.espncricinfo.com/ci/content/player/693975.html,2023-2023,1,1,0,22,22,22,29,75.86,0,0,0,0,1,"May 13, 1996, Ragama",28y 77d,Left hand Bat,Right arm Offbreak,Batting Allrounder,5ft 9in
JC Balt (NAM),https://www.espncricinfo.com/ci/content/player/1178066.html,2024-2024,3,2,0,22,22,11,23,95.65,0,0,1,1,0,9-Nov-03,20y 263d,Left hand Bat,Right arm Offbreak,Middle order Batter,
M Choamba (MWI),https://www.espncricinfo.com/ci/content/player/1283111.html,2021-2024,22,7,3,22,12*,5.5,43,51.16,0,0,1,1,0,10-Jul-04,20y 19d,Right hand Bat,Right arm Offbreak,,
PC de Silva (SL),https://www.espncricinfo.com/ci/content/player/345825.html,2017-2017,2,2,0,22,21,11,22,100,0,0,0,1,0,"January 17, 1990, Galle",34y 194d,Left hand Bat,Slow Left arm Orthodox,Allrounder,5ft 6in
AB Dinda (IND),https://www.espncricinfo.com/ci/content/player/227712.html,2009-2012,9,2,1,22,19,22,24,91.66,0,0,0,1,0,"March 25, 1984, Medinipur, Calcutta (now Kolkata)",40y 126d,Right hand Bat,Right arm Medium fast,Bowler,
A Harikumar (BUL),https://www.espncricinfo.com/ci/content/player/1275725.html,2021-2021,1,1,0,22,22,22,13,169.23,0,0,0,3,0,5-Jan-97,27y 206d,Right hand Bat,Right arm Medium fast,,
PJ Ingram (NZ),https://www.espncricinfo.com/ci/content/player/38952.html,2010-2010,3,3,1,22,20*,11,35,62.85,0,0,1,3,0,"October 25, 1978, Hawera, Taranaki",45y 278d,Right hand Bat,Right arm Offbreak,Top order Batter,
Izhar Hussain (SUI),https://www.espncricinfo.com/ci/content/player/1382779.html,2023-2023,4,2,1,22,21*,22,33,66.66,0,0,0,3,0,3-May-94,30y 87d,Right hand Bat,Right arm Medium,,
