Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,Born,Age,Batting Style,Bowling Style,Playing Role,Height
JM Mennie (AUS),https://www.espncricinfo.com/ci/content/player/439288.html,2016-2016,2,2,0,1,1,0.5,4,25,0,0,1,"December 24, 1988, Coffs Harbour, New South Wales",35y 218d,Right hand Bat,Right arm Fast medium,Bowler,1.9 m
Mohammad Kashif (NED),https://www.espncricinfo.com/ci/content/player/243073.html,2006-2010,11,3,0,1,1,0.33,17,5.88,0,0,2,"December 03, 1984, Khanewal, Punjab, Pakistan",39y 239d,Right hand Bat,Right arm Offbreak,Bowler,
Moniruzzaman (BAN),https://www.espncricinfo.com/ci/content/player/56011.html,2003-2003,2,2,0,1,1,0.5,20,5,0,0,1,"October 25, 1976, Mymensingh",47y 278d,Right hand Bat,,,
PV Mpitsang (SA),https://www.espncricinfo.com/ci/content/player/46255.html,1999-1999,2,1,1,1,1*,-,1,100,0,0,0,"March 28, 1980, Kimberley, Cape Province",44y 123d,Right hand Bat,Right arm Fast medium,Bowler,
T Mufudza (ZIM),https://www.espncricinfo.com/ci/content/player/453321.html,2024-2024,2,1,0,1,1,1,9,11.11,0,0,0,"September 20, 1990, Harare",33y 313d,Right hand Bat,Right arm Offbreak,Bowler,
M Mulla (CAN),https://www.espncricinfo.com/ci/content/player/299821.html,2007-2007,1,1,0,1,1,1,11,9.09,0,0,0,"November 07, 1981, Navasri, India",42y 265d,Right hand Bat,Right arm Medium,Bowler,
W Mwayenga (ZIM),https://www.espncricinfo.com/ci/content/player/55640.html,2002-2004,3,2,0,1,1,0.5,11,9.09,0,0,1,"June 20, 1984, Harare",40y 39d,Right hand Bat,Right arm Medium,,
DP Nannes (AUS),https://www.espncricinfo.com/ci/content/player/6981.html,2009-2009,1,1,0,1,1,1,2,50,0,0,0,"May 16, 1976, Mount Waverley, Melbourne, Victoria",48y 74d,Right hand Bat,Left arm Fast,Bowler,1.88 m
Nasim-ul-Ghani (PAK),https://www.espncricinfo.com/ci/content/player/42057.html,1973-1973,1,1,0,1,1,1,8,12.5,0,0,0,"May 14, 1941, Delhi, India",83y 76d,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowler,
W O'Rourke (NZ),https://www.espncricinfo.com/ci/content/player/1211825.html,2023-2023,3,1,0,1,1,1,5,20,0,0,0,"August 06, 2001, Kingston upon Thames, Surrey",22y 358d,Right hand Bat,Right arm Fast medium,Bowler,
NV Ojha (IND),https://www.espncricinfo.com/ci/content/player/32102.html,2010-2010,1,1,0,1,1,1,7,14.28,0,0,0,"July 20, 1983, Ujjain, Madhya Pradesh",41y 9d,Right hand Bat,,Wicketkeeper Batter,
G Onions (ENG),https://www.espncricinfo.com/ci/content/player/18389.html,2009-2009,4,1,0,1,1,1,2,50,0,0,0,"September 09, 1982, Gateshead",41y 324d,Right hand Bat,Right arm Medium fast,Bowler,6ft 2in
KA Patel (KENYA),https://www.espncricinfo.com/ci/content/player/24789.html,2006-2006,2,2,1,1,1*,1,4,25,0,0,1,"July 18, 1985, Nairobi",39y 11d,Right hand Bat,Right arm Medium,,
K Phillip (USA),https://www.espncricinfo.com/ci/content/player/1150684.html,2021-2023,5,2,0,1,1,0.5,5,20,0,0,1,"January 26, 1997, Trinidad",27y 185d,Right hand Bat,Right arm Fast medium,Bowler,
Y Punja (UAE),https://www.espncricinfo.com/ci/content/player/796331.html,2015-2015,1,1,0,1,1,1,6,16.66,0,0,0,24-Apr-99,25y 96d,Right hand Bat,Right arm Medium,Bowler,
RR Ramdass (WI),https://www.espncricinfo.com/ci/content/player/52913.html,2005-2005,1,1,0,1,1,1,9,11.11,0,0,0,"July 03, 1983, Ogle, East Coast, Guyana",41y 26d,Right hand Bat,Right arm Offbreak,Opening Batter,
SJ Roberts (NZ),https://www.espncricinfo.com/ci/content/player/38255.html,1990-1990,2,1,1,1,1*,-,2,50,0,0,0,"March 22, 1965, Christchurch, Canterbury",59y 129d,Right hand Bat,Right arm Fast medium,,
LC Romero (USA),https://www.espncricinfo.com/ci/content/player/25862.html,2004-2004,2,2,0,1,1,0.5,7,14.28,0,0,1,"December 29, 1974, New York, U.S.A.",49y 213d,Right hand Bat,Right arm Medium,,
R Sharma (IND),https://www.espncricinfo.com/ci/content/player/272994.html,2011-2012,4,1,0,1,1,1,2,50,0,0,0,"November 30, 1986, Jalandhar",37y 242d,Right hand Bat,Legbreak Googly,Bowler,
KJ Silva (SL),https://www.espncricinfo.com/ci/content/player/50429.html,1995-1995,1,1,1,1,1*,-,1,100,0,0,0,"June 02, 1973, Kalutara",51y 57d,Right hand Bat,Slow Left arm Orthodox,Bowler,
BDH Stevens (JER),https://www.espncricinfo.com/ci/content/player/370034.html,2023-2023,1,1,0,1,1,1,5,20,0,0,0,"May 05, 1992, Hong Kong",32y 85d,Left hand Bat,Slow Left arm Orthodox,,
AM Stuart (AUS),https://www.espncricinfo.com/ci/content/player/7691.html,1997-1997,3,1,0,1,1,1,7,14.28,0,0,0,"January 02, 1970, Newcastle, New South Wales",54y 209d,Right hand Bat,Right arm Fast medium,,
